"","Model","Trait","nsamples","Slpe","Inte","Rsqr","MAE","MAPE","SMAPE","MSE","RMSE"
"1","mRF","Cab",1,0.89249131075254,5.00072446827879,0.980996374432172,2.78900985888706,0.072185447474664,0.0735312044605727,11.3215246967263,3.3617002766688
"2","mRF","Cab",2,0.957400087386465,1.91005481676573,0.993780478265982,1.53664391355098,0.0416479866123686,0.0425539506687923,4.30137299240945,2.07221399033202
"3","mRF","Cab",3,0.969033236790292,1.35953496598238,0.995876775711499,1.22586022063782,0.0328622762232248,0.0332984683221683,2.90579156756573,1.70037891776401
"4","mRF","Car",1,0.273534163274413,19.7030831618919,0.619298875494903,2.21636533317961,0.0847030360210992,0.0831079882613118,7.72355751303684,2.76555702139066
"5","mRF","Car",2,0.38539048399624,16.6743231407159,0.721612445505771,2.39896977853335,0.0920651974918908,0.0901238935566351,9.6566850736374,3.09954441829496
"6","mRF","Car",3,0.413536120357235,15.8992902332903,0.752460283296126,2.44886595729802,0.0945446615206085,0.0934337274822909,9.51311775019821,3.07778471761727
"7","mRF","Cm",1,0.55976791213374,0.00750072997754809,0.758556821399782,0.00183526225739452,0.114774011092686,0.112416970228168,5.13400912517479e-06,0.0022615580847623
"8","mRF","Cm",2,0.629782917051254,0.0062273391500739,0.779555005248125,0.00194637753478602,0.124785932669891,0.122830697260824,5.82864552815544e-06,0.00241211017260414
"9","mRF","Cm",3,0.704175662533634,0.0049636931218301,0.822036353730194,0.00187623811328263,0.12171768403206,0.119552075269621,5.56904975896525e-06,0.00235891256009155
"10","mRF","Cw",1,0.430139503528463,0.00986974563948771,0.640559773211512,0.0019041329376252,0.115923614021579,0.112911076050703,5.41151513414908e-06,0.00232278944543356
"11","mRF","Cw",2,0.413035956627924,0.0102085681327018,0.684947414348346,0.00165840379536598,0.0999050759758221,0.0979158127947788,4.06371741236221e-06,0.00201433943464284
"12","mRF","Cw",3,0.514594713368437,0.00844100300010929,0.740533719095093,0.00179901162671844,0.109700469041576,0.106980116407403,4.83123655845477e-06,0.00219610746090994
"13","mRF","LAI",1,0.51791712948561,2.40547105000795,0.638130858595824,0.847484763491981,0.236755687596368,0.202847327586007,1.01972683138252,1.00785860408146
"14","mRF","LAI",2,0.57241223944262,2.13701833966575,0.645557211094978,0.929791953734137,0.31145954898,0.240815104534235,1.20713591704845,1.09837883561435
"15","mRF","LAI",3,0.605585750792425,1.97059485181456,0.665370002561923,0.945433716213127,0.325693778781517,0.248366623659648,1.24405966862234,1.11515260229607
"16","ann","Cab",1,0.979926376466179,0.299175784620358,0.979714638384907,2.86964798887065,0.469731038936891,0.0995157236175765,14.9247382689338,3.80618588109214
"17","ann","Cab",2,0.984473733974,0.208446534189155,0.987865209128237,2.19036660915098,0.0967086643023797,0.0729531277947505,8.93286795506688,2.9436058193863
"18","ann","Cab",3,0.984301741032757,0.54990215652851,0.988587854912195,2.17834157609477,0.0694359047814366,0.0712375578216972,8.41265991026043,2.85992044072631
"19","ann","Car",1,0.907273974260707,2.47534263125702,0.915944503915776,2.76207626141495,0.128022381166114,0.121862028029555,12.7177433090582,3.56307244502313
"20","ann","Car",2,0.944814226143993,1.53195748826184,0.941470596750264,2.2160928864504,0.10680836433939,0.0995068372952986,9.46686351422844,3.0093700617462
"21","ann","Car",3,0.951574780067479,1.44338990079463,0.952732825865238,1.95118715058396,0.0964862103726307,0.0902669364544735,7.58288892843155,2.72965556584892
"22","ann","Cm",1,0.967312421130325,0.00043956821552177,0.963753179878497,0.000998598363955407,0.0743269631747853,0.0733295716238386,1.80274914478133e-06,0.00134055470829207
"23","ann","Cm",2,0.977525613649859,0.000511586993201791,0.975298098752954,0.000789915351875928,0.0546090019433998,0.054563294809155,1.26445154680163e-06,0.00110988917734572
"24","ann","Cm",3,0.971354901818076,0.000360253350789049,0.983196738397745,0.000656587956420429,0.0457941622264204,0.0459334437985706,8.4188918708953e-07,0.000909771474865108
"25","ann","Cw",1,0.977264422798126,0.000502515685444022,0.970617646801079,0.000864276598718449,0.0612347805011818,0.06172864407502,1.50078502909222e-06,0.00121983650037452
"26","ann","Cw",2,0.976377374463396,0.000391675025863373,0.974621630226777,0.000791073500602914,0.0561226242194635,0.0556935723185138,1.27803033004555e-06,0.00112621963955433
"27","ann","Cw",3,0.997386327833759,0.000106352937852139,0.984664083424118,0.000630573329329936,0.0453242610696668,0.0454672238054918,8.01240978993877e-07,0.000892875133714845
"28","ann","LAI",1,0.879913548688185,0.542209957983823,0.859838375174247,0.708544531260979,0.181764068071202,0.163718533405601,0.843596766952682,0.916251911645969
"29","ann","LAI",2,0.894949712614725,0.433829284996668,0.907419763563847,0.583581528587362,0.183485827568904,0.148070488628835,0.553286097358924,0.740691496530955
"30","ann","LAI",3,0.902627198532391,0.412091565953262,0.918742832279012,0.522268022314583,0.206639552855001,0.129955853792282,0.482746905847198,0.694028065136365
