"","kf_th","Model","variable","Slpe","Inte","Rsqr","MAE","MAPE","SMAPE","MSE","RMSE"
"1",1,"ann","Cab",0.989806572287734,-1.14366900030722,0.991930985102497,1.84224255243958,0.0627465373581886,0.0665315960399827,5.53400456018161,2.35244650527522
"2",1,"ann","Car",0.973616938822938,1.32554126700252,0.963374949107887,1.90108665570666,0.0967864292822493,0.0917956229765803,6.00613733217886,2.4507422002689
"3",1,"ann","Cw",1.00094178362248,0.0002909599161968,0.978345929268563,0.000754550976260807,0.0497715097813286,0.0502042763645315,1.17579221209181e-06,0.00108433952805005
"4",1,"ann","Cm",0.968892987401742,0.000707404643594643,0.981996919037982,0.000626279135840002,0.0438166901807976,0.0441257391241906,8.67956995117935e-07,0.000931642096042217
"5",1,"ann","LAI",0.907635687648963,0.337140802119542,0.916097901040999,0.514207208009443,0.125137326986748,0.116670848375491,0.47945944182657,0.692430098873937
"6",2,"ann","Cab",0.985501999954639,0.356726768453818,0.98201540071833,2.8554293539465,0.239691661478183,0.11361791215792,13.8555339422919,3.72230223682762
"7",2,"ann","Car",0.910376914387332,1.65332146478892,0.89457481340472,3.12000340079922,0.158139260687243,0.138262447382102,18.088169966734,4.25301892386267
"8",2,"ann","Cw",0.984942538544862,0.000132161625206885,0.972545628304201,0.000822328946898841,0.0626008831473534,0.0608486256321871,1.4236126793532e-06,0.00119315241245752
"9",2,"ann","Cm",0.983260416575557,0.000559401401966043,0.978082739553637,0.000728640994296326,0.0501744970053925,0.0501765638379647,1.16389261913733e-06,0.00107883855100628
"10",2,"ann","LAI",0.868765413475638,0.417770375189319,0.908852523522467,0.521003034050357,0.13383860300117,0.124968964965968,0.491330999314743,0.700950069059661
"11",3,"ann","Cab",0.959050666408365,1.53764307195355,0.985004420235272,2.27888126758266,0.065536838049833,0.066653619880808,10.1603636272046,3.18753252959159
"12",3,"ann","Car",0.968223336772492,1.08761113176032,0.954930457670531,1.98892803594401,0.0884229040933078,0.0859544050457358,6.97557609253309,2.64113159318749
"13",3,"ann","Cw",0.96884704295622,0.000618065908816946,0.965192574762078,0.000981766523821212,0.0683092317545613,0.0661152514941243,1.65046508011443e-06,0.00128470427730059
"14",3,"ann","Cm",0.970594339967879,0.000903396932451636,0.960978511341829,0.00102051718264698,0.0638928515876605,0.0644717513982959,2.04388767041597e-06,0.00142964599478891
"15",3,"ann","LAI",0.911365138487015,0.551255757632949,0.89410043940775,0.695515577926733,0.189544500238999,0.167846326468707,0.701593073139145,0.837611528776404
"16",4,"ann","Cab",0.98519913987752,0.757111660488535,0.992792737245082,1.83975966845605,0.0562594513416671,0.05628490385501,5.69967697538205,2.38739962624234
"17",4,"ann","Car",0.9184936783398,2.00157754548728,0.945775595678125,2.09983354992541,0.0985802602157175,0.0962804742917691,7.7654701082084,2.7866593096768
"18",4,"ann","Cw",0.960720452129134,6.91096185310375e-05,0.979937295148689,0.000760698834664603,0.0552818782984213,0.0551666605237866,1.05522340183554e-06,0.00102724067376421
"19",4,"ann","Cm",0.961907120233906,0.000645698793944629,0.972962855983675,0.000869392103173436,0.0608251320666932,0.0602899405628233,1.34401744372928e-06,0.00115931766299374
"20",4,"ann","LAI",0.886669016644009,0.503546774521942,0.89352001610418,0.666830983620823,0.177613452026276,0.167537173853927,0.650982214919652,0.806834688718608
"21",5,"ann","Cab",1.00281029134174,-0.465579829642906,0.987582502340005,2.13552020333012,0.0593088332840268,0.0616776070400321,9.41476067027426,3.06834819899474
"22",5,"ann","Car",0.953360262397404,1.59173603227016,0.948697167890059,1.97061278987672,0.0921129674184314,0.0852412367803056,8.49896407148786,2.91529828173514
"23",5,"ann","Cw",0.966435055064286,0.000848078060565198,0.977086723650355,0.000636022221369108,0.0446496181156531,0.0461330475779393,1.08505827683278e-06,0.00104166130619927
"24",5,"ann","Cm",1.00297320407021,-0.000257966805947994,0.982469467847645,0.000704747343422897,0.0543358388764551,0.0537524791225003,9.02503005607627e-07,0.000950001581897434
"25",5,"ann","LAI",0.900313306818001,0.359432715519589,0.924527937743839,0.520350839329456,0.291295255591326,0.163329129480081,0.443064757594509,0.665631097226165
