"","Cab","Cw","LAI","SCE_Cab","SCE_Cw","SCE_LAI","LBFGSB_Cab","LBFGSB_Cw","LBFGSB_LAI","SCE_iter","LBFGSB_fncall"
"1",37.0571062544175,0.0157612708305345,5.43164307887562,31.9184097250824,0.0160198238585437,4.11059297726618,39.6552999327807,0.0219193333136234,2.75400230663234,17,20
"2",27.0579995985811,0.0205365822228966,6.13441846473541,22.4932244422273,0.0197088772763024,4.24670435851196,22.7981078152943,0.0201320128046726,4.10091466075711,17,20
"3",79.9887171573957,0.0198570767006649,5.63695146924069,79.4346445923767,0.0192147887647832,8.16166969437485,43.0206762106638,0.0178400517770907,9.5,17,20
"4",55.4593575571813,0.0170604541056694,2.48169604417516,50.3026815580552,0.0150235329289066,2.78662871844572,41.2932440275922,0.0088164560069148,6.10819669402114,17,20
"5",67.9386234149861,0.0157318392001715,5.03380956514727,61.5595172669425,0.0163000778577311,4.01568094900699,41.2938059694004,0.0129534242140921,6.11220636640222,17,20
"6",77.3347788125691,0.01748099484259,4.87531644394628,62.8134850479441,0.0178606581230356,3.64323106699596,43.8592879937206,0.0124229125044842,9.5,17,20
"7",63.4761004292673,0.0121780086670723,4.17159963768101,50.7633209987822,0.0118164878180623,4.04723274489541,41.2936103961687,0.00937553698203725,6.10925106371296,17,20
"8",70.209386836417,0.0194386763108457,2.99229877555525,60.2471503930706,0.0176709990168601,3.17089004416029,41.2936870843402,0.0118529534334362,6.11094123044809,17,20
"9",49.9741136380759,0.0188546131070753,4.29797119681753,44.2303245135924,0.0186357600211708,3.77903643622412,41.2931970809623,0.0148412819141975,6.11210485300576,17,20
"10",55.0347271137704,0.0242747007934329,4.35834365289193,47.8235027248376,0.0238896747233906,3.57405324979931,41.2931862817403,0.0184954812627114,6.11321784109643,17,20
"11",66.7095857880562,0.0212817378988585,5.84845824455429,54.5698572951831,0.0218189683841428,3.56381128547018,41.2933414811125,0.0165536342969667,6.11275272523913,17,20
"12",37.1758879379783,0.0216694305078173,4.23683498598027,32.5846265091196,0.0205493769891027,3.85934109128649,39.3778797427215,0.0268163379081358,2.73721990904759,17,20
"13",55.0054611614325,0.0151948259846258,5.34268100363939,44.7295482754984,0.0155987706581479,3.87394128254855,41.293224194672,0.0124250362388516,6.11073741041321,17,20
"14",37.1723919541344,0.0202304776442486,5.89528624593981,32.1104502792839,0.0201848922120839,4.02510558323064,32.5048638842412,0.0205909183678572,3.90213764893327,17,20
"15",49.7894608855719,0.0199404006618388,6.0150759449084,50.8322589263218,0.0198860966553346,6.84783821851195,41.2936982721536,0.0200087852829646,6.1148649753652,17,20
"16",58.4720679347428,0.0209316881339099,4.44219284993172,54.6474321412511,0.0210592541054684,3.87490645266947,41.2934130902819,0.0168626110772397,6.11297799748051,17,20
"17",29.3423839603458,0.015259222141941,4.49576203109202,25.6668326227387,0.014363634409519,4.36323227412686,39.2397112012327,0.0265342434520787,2.15085274717085,17,20
"18",58.367552917921,0.0123464943104756,4.64993268196635,44.9169151895569,0.012293280172631,4.08173033918406,41.2933340886832,0.0099608809827161,6.10925808867615,17,20
"19",62.1315102622008,0.0134798530714179,5.4508040502811,54.6004829993637,0.01411238098021,4.13019500568198,41.2937293495975,0.0114276509793404,6.11086171181221,17,20
"20",57.4075241941468,0.0110403546131906,5.91147433564563,48.3599383705661,0.0115363229707261,4.45366806088695,41.2935812003516,0.00978880871189924,6.10948228136352,17,20
"21",51.7093952414159,0.0214418772802981,5.0672155182871,47.713873736274,0.021838945181876,3.93642596161615,41.2932668675545,0.0178983066025627,6.11319093112541,17,20
"22",33.2362811141585,0.0218650060662757,7.17174489124365,26.2698693370355,0.0210320393486743,3.93576409860754,26.5449829497266,0.0214005380546471,3.83486587005092,17,20
"23",30.1779045956565,0.018826020381774,4.83442972998388,23.1550704939551,0.0172783056843969,4.07865435158384,41.2931366054459,0.0151758701316449,6.11236213994432,17,20
"24",53.0289728224869,0.0146367420744577,4.30954646372196,43.0224043263093,0.0143091910179962,3.87963294715395,41.293159846447,0.0113863851776803,6.10989089979359,17,20
"25",67.7893319899028,0.0216169055506791,6.00840323918122,66.0270392272068,0.0224238584670121,4.42012472510974,54.6742223081821,0.0183717964628311,9.4999984468009,17,20
"26",38.7535110008646,0.0218849687064147,4.84817661206721,32.7772094008135,0.0211639837835363,3.83586351256033,39.4003984453394,0.0272405974209033,2.76385563437183,17,20
"27",44.8783165360911,0.0169608403336997,6.14132380083457,41.0335416259405,0.0176580113788049,4.14859941213657,41.2931810231319,0.0149739089234726,6.11220063639945,17,20
"28",41.803369782635,0.0162876031455865,7.33477682442419,40.2411175676251,0.0168106130383744,4.97485330067838,40.675551358616,0.0171142441232098,4.80518803981936,17,20
"29",39.094389975949,0.0181535070870578,4.15523027258786,31.8749690588621,0.0171918653203122,3.79148451397156,39.5577707016448,0.0233942393149299,2.61309105471697,17,20
"30",39.3607463801483,0.0121938168165438,5.55497898677894,36.9123545238332,0.0124946757564411,4.66910068720618,41.2929782562757,0.0112668544711663,6.10955202632105,17,20
